Each of the nurses report to the operating room when his or her name is called.	A. Of the	B. Report	C. His or her name	D. Is called	B. Report	⇒ is reported. Chủ ngữ each of the + Ns + V số ít, câu bị động.
When you are writing or speaking English it is important to use language that includes both men and women equally the same.	A. Are	B. To use	C. Both	D. Equally the same	D. Equally the same	⇒ equally. Vì equally và the same có cùng trường nghĩa (equally: một cách công bằng, ngang hàng – the same: giống nhau), nên ta không sử dụng cả 2 từ trong cùng một câu.
The Oxford English Dictionary is well known for including many different meanings of words and to give real examples.	A. Well known	B. Many	C. Meaning of words	D. To give	D. To give	⇒ giving. Cấu trúc song song, hai động từ “including” và “giving” cùng đi sau giới từ “for” nên to give phải được chuyển về dạng Ving
A novel is a story long enough to fill a complete book, in that the characters and events are usually imaginary.	A. Is	B. Long enough	C. In that	D. Imaginary	C. In that	⇒ in which. Trong mệnh đề quan hệ, giới từ không đi với that
The student must have her assessment form fill in by the examiner during the oral exam.	A. The student	B. Fill in	C. The	D. Oral exam	B. Fill in	⇒ filled in. cấu trúc bị động đặc biệt sb have st done: để cho cái gì được làm gì
When precipitation occurs, some of it evaporates, some runs off the surface it strikes, and some sinking into the ground.	A. When	B. It	C. Runs off	D. Sinking	D. Sinking	⇒ sinks. Cấu trúc song song, 2 vế trước động từ đều chia ở dạng thức thời hiện tại đơn nên sinking phải được chuyển thành sinks
Of all the art-related reference and research library in North America, that of the Metropolitan Museum of Art in New York City is among the largest and most complete.	A. Of all	B. Reference and research	C. Library	D. That of	C. Library	⇒ libraries. Cấu trúc sau “of all” là danh từ số nhiều, nghĩa: trong số tất cả
A warning printed on a makeshift lifebuoy says: “This is not a life-saving device. Children should be accompany by their parents.”	A. Printed	B. Makeshift lifebuoy	C. Device	D. Accompany	A. Printed	⇒ accompanied. Cấu trúc câu bị động Be + PII + be sb/st
I like the fresh air and green trees of the village which I spent my vacation last year.	A. I like	B. Which	C. Spent	D. Last	B. Which	⇒ where/ in which. Mệnh đề quan hệ chỉ nơi chốn. Ta thấy which thường thay cho danh từ chỉ vật làm chủ ngữ hoặc tân ngữ trong câu, ở đây vế sau đã đầy đủ chủ-vị nên ta cần một trạng ngữ.
Some people often say that using cars is not as convenient than using motorbikes.	A. Some	B. Say	C. Than	D. Is	C. Than	⇒ as. cấu trúc so sánh bằng: Be as adj as N
It was not until the end of prehistoric times that the first wheeled vehicles appearing	A. It was	B. Prehistoric	C. wheeled vehicles	D. Appearing	A. It was	⇒ appeared. Cấu trúc it + be + not until + thời gian + that + mệnh đề: không…cho đến tận khi…
In the early 1900’s, Pennsylvania’s industries grew rapidly, a growth sometimes accompanied by disputes labor.	A. early 1900’s	B. Industries	C. Accompanied by	D. Labor	C. Accompanied by	⇒ was accompanied by. Đây là câu bị động thời quá khứ đơn, cấu trúc S + be(was/were) PII + by sb/st
Looking from afar, the village resembles a small green spot dotted with tiny fireballs.	A. Looking	B. The village	C. Dotted	D. Fireballs	A. Looking	⇒ looked. Cụm hiện tại phân từ thuộc về chủ ngữ “the village”, ngôi làng được nhìn thấy chứ không thể tự nhìn, nên câu cần phân từ bị động
Since January this year, Joe has suffered two injuries, one to his ankle and the other in New York.	A. Since	B. Has suffered	C. One to	D. In New York	D. In New York	⇒ to his elbow. Câu đề cập đến “2 injuries” mà Joe gặp phải, 1 vết thương ở mắt cá chân, vết thương kia sẽ sở một bộ phận cơ thể khác, cứ không thể nói là ở New York.
Women in many parts of the world have had lower status than men, which the extent of the gap between genders varies across cultures and times.	A. Many	B. Lower	C. Which	D. Across cultures and times	C. Which	⇒ but. dễ dàng đọc thấy 2 cế câu không có quan hệ bổ sung mà là quan hệ tương phản. Vì vậy dùng but trong trường hợp này sẽ hợp lý hơn.
The Games’ organizers faced significant bed shortages because the record number of more than 13,000 athletes and officials who attended the 2006 Games	A. Faced	B. Bed shortage	C. Because	D. Attended	C. Because	⇒ because of. Because + mệnh đề, because of + N. Cụm từ “the record number of more than 13,000 athletes and officials” là một cụm danh từ nên ta dùng với because of
